dateRep;day;month;year;cases;countriesAndTerritories;;;;;;
2020-01-14;14;1;2020;0;Afghanistan;;;;;;
2020-01-13;13;1;2020;0;Afghanistan;;;;;;
2020-01-12;12;1;2020;0;Afghanistan;;;;;;
2020-01-11;11;1;2020;0;Afghanistan;;;;;;
2020-01-10;10;1;2020;0;Afghanistan;;;;;;
2020-01-09;9;1;2020;0;Afghanistan;;;;;;
2020-01-08;8;1;2020;0;Afghanistan;;;;;;
2020-01-07;7;1;2020;0;Afghanistan;;;;;;
2020-01-06;6;1;2020;0;Afghanistan;;;;;;
2020-01-05;5;1;2020;0;Afghanistan;;;;;;
2020-01-04;4;1;2020;0;Afghanistan;;;;;;
2020-01-03;3;1;2020;0;Afghanistan;;;;;;
2020-01-02;2;1;2020;0;Afghanistan;;;;;;
2020-01-01;1;1;2020;0;Afghanistan;;;;;;
2019-12-31;31;12;2019;0;Afghanistan;;;;;;
2020-12-14;14;12;2020;788;Albania;;;;;;
2020-12-13;13;12;2020;879;Albania;;;;;;
2020-12-12;12;12;2020;802;Albania;;;;;;
2020-12-11;11;12;2020;873;Albania;;;;;;
2020-12-10;10;12;2020;752;Albania;;;;;;
2020-12-09;9;12;2020;753;Albania;;;;;;
2020-12-08;8;12;2020;695;Albania;;;;;;
2020-12-07;7;12;2020;840;Albania;;;;;;
2020-12-06;6;12;2020;846;Albania;;;;;;
2020-12-05;5;12;2020;801;Albania;;;;;;
2020-12-04;4;12;2020;782;Albania;;;;;;
2020-12-03;3;12;2020;705;Albania;;;;;;
2020-12-02;2;12;2020;832;Albania;;;;;;
2020-12-01;1;12;2020;557;Albania;;;;;;
2020-11-30;30;11;2020;835;Albania;;;;;;
2020-11-29;29;11;2020;545;Albania;;;;;;
2020-11-28;28;11;2020;645;Albania;;;;;;
2020-11-27;27;11;2020;656;Albania;;;;;;
2020-11-26;26;11;2020;644;Albania;;;;;;
2020-11-25;25;11;2020;744;Albania;;;;;;
2020-11-24;24;11;2020;795;Albania;;;;;;
2020-11-23;23;11;2020;565;Albania;;;;;;
2020-11-22;22;11;2020;737;Albania;;;;;;
2020-11-21;21;11;2020;836;Albania;;;;;;
2020-11-20;20;11;2020;786;Albania;;;;;;
2020-11-19;19;11;2020;711;Albania;;;;;;
2020-11-18;18;11;2020;694;Albania;;;;;;
2020-11-17;17;11;2020;602;Albania;;;;;;
2020-11-16;16;11;2020;597;Albania;;;;;;
2020-11-15;15;11;2020;532;Albania;;;;;;
2020-11-14;14;11;2020;490;Albania;;;;;;
2020-11-13;13;11;2020;410;Albania;;;;;;
2020-11-12;12;11;2020;507;Albania;;;;;;
2020-11-11;11;11;2020;563;Albania;;;;;;
2020-11-10;10;11;2020;525;Albania;;;;;;
2020-11-09;9;11;2020;501;Albania;;;;;;
2020-11-08;8;11;2020;495;Albania;;;;;;
2020-11-07;7;11;2020;489;Albania;;;;;;
2020-11-06;6;11;2020;421;Albania;;;;;;
2020-11-05;5;11;2020;396;Albania;;;;;;
2020-11-04;4;11;2020;381;Albania;;;;;;
2020-11-03;3;11;2020;321;Albania;;;;;;
2020-11-02;2;11;2020;327;Albania;;;;;;
2020-11-01;1;11;2020;241;Albania;;;;;;
2020-10-31;31;10;2020;319;Albania;;;;;;
2020-10-30;30;10;2020;275;Albania;;;;;;
2020-10-29;29;10;2020;311;Albania;;;;;;
2020-10-28;28;10;2020;284;Albania;;;;;;
2020-10-27;27;10;2020;288;Albania;;;;;;
2020-10-26;26;10;2020;299;Albania;;;;;;
2020-10-25;25;10;2020;302;Albania;;;;;;
2020-10-24;24;10;2020;306;Albania;;;;;;
2020-10-23;23;10;2020;302;Albania;;;;;;
2020-10-22;22;10;2020;297;Albania;;;;;;
2020-10-21;21;10;2020;301;Albania;;;;;;
2020-10-20;20;10;2020;295;Albania;;;;;;
2020-10-19;19;10;2020;281;Albania;;;;;;
2020-10-18;18;10;2020;273;Albania;;;;;;
2020-10-17;17;10;2020;289;Albania;;;;;;
2020-10-16;16;10;2020;257;Albania;;;;;;
2020-10-15;15;10;2020;203;Albania;;;;;;
2020-10-14;14;10;2020;182;Albania;;;;;;
2020-10-13;13;10;2020;171;Albania;;;;;;
2020-10-12;12;10;2020;168;Albania;;;;;;
2020-10-11;11;10;2020;165;Albania;;;;;;
2020-10-10;10;10;2020;167;Albania;;;;;;
2020-10-09;9;10;2020;169;Albania;;;;;;
2020-10-08;8;10;2020;162;Albania;;;;;;
2020-10-07;7;10;2020;158;Albania;;;;;;
2020-10-06;6;10;2020;144;Albania;;;;;;
2020-10-05;5;10;2020;149;Albania;;;;;;
2020-10-04;4;10;2020;152;Albania;;;;;;
2020-10-03;3;10;2020;159;Albania;;;;;;
2020-10-02;2;10;2020;157;Albania;;;;;;
2020-10-01;1;10;2020;131;Albania;;;;;;
2020-09-30;30;9;2020;127;Albania;;;;;;
2020-09-29;29;9;2020;132;Albania;;;;;;
2020-09-28;28;9;2020;106;Albania;;;;;;
2020-09-27;27;9;2020;108;Albania;;;;;;
2020-09-26;26;9;2020;124;Albania;;;;;;
2020-09-25;25;9;2020;134;Albania;;;;;;
2020-09-24;24;9;2020;121;Albania;;;;;;
2020-09-23;23;9;2020;131;Albania;;;;;;
2020-09-22;22;9;2020;150;Albania;;;;;;
2020-09-21;21;9;2020;159;Albania;;;;;;
2020-09-20;20;9;2020;153;Albania;;;;;;
2020-09-19;19;9;2020;125;Albania;;;;;;
2020-09-18;18;9;2020;132;Albania;;;;;;
2020-09-17;17;9;2020;144;Albania;;;;;;
2020-09-16;16;9;2020;152;Albania;;;;;;
2020-09-15;15;9;2020;167;Albania;;;;;;
2020-09-14;14;9;2020;168;Albania;;;;;;
2020-09-13;13;9;2020;164;Albania;;;;;;
2020-09-12;12;9;2020;161;Albania;;;;;;
2020-09-11;11;9;2020;156;Albania;;;;;;
2020-09-10;10;9;2020;151;Albania;;;;;;
2020-09-09;9;9;2020;147;Albania;;;;;;
2020-09-08;8;9;2020;151;Albania;;;;;;
2020-09-07;7;9;2020;153;Albania;;;;;;
2020-09-06;6;9;2020;135;Albania;;;;;;
2020-09-05;5;9;2020;123;Albania;;;;;;
2020-09-04;4;9;2020;116;Albania;;;;;;
2020-09-03;3;9;2020;122;Albania;;;;;;
2020-09-02;2;9;2020;93;Albania;;;;;;
2020-09-01;1;9;2020;133;Albania;;;;;;
2020-08-31;31;8;2020;101;Albania;;;;;;
2020-08-30;30;8;2020;84;Albania;;;;;;
2020-08-29;29;8;2020;112;Albania;;;;;;
2020-08-28;28;8;2020;156;Albania;;;;;;
2020-08-27;27;8;2020;168;Albania;;;;;;
2020-08-26;26;8;2020;154;Albania;;;;;;
2020-08-25;25;8;2020;178;Albania;;;;;;
2020-08-24;24;8;2020;152;Albania;;;;;;
2020-08-23;23;8;2020;156;Albania;;;;;;
2020-08-22;22;8;2020;152;Albania;;;;;;
2020-08-21;21;8;2020;155;Albania;;;;;;
2020-08-20;20;8;2020;158;Albania;;;;;;
2020-08-19;19;8;2020;155;Albania;;;;;;
2020-08-18;18;8;2020;119;Albania;;;;;;
2020-08-17;17;8;2020;120;Albania;;;;;;
2020-08-16;16;8;2020;143;Albania;;;;;;
2020-08-15;15;8;2020;146;Albania;;;;;;
2020-08-14;14;8;2020;154;Albania;;;;;;
2020-08-13;13;8;2020;141;Albania;;;;;;
2020-08-12;12;8;2020;140;Albania;;;;;;
2020-08-11;11;8;2020;125;Albania;;;;;;
2020-08-10;10;8;2020;136;Albania;;;;;;
